time	V(n001)	V(n003)
2.188164448385354e-04	5.000000e+00	4.955878e+00
2.197930073385354e-04	5.000000e+00	4.969801e+00
2.207695698385354e-04	5.000000e+00	4.979716e+00
2.217461323385354e-04	5.000000e+00	4.986688e+00
2.227226948385354e-04	5.000000e+00	4.991522e+00
2.236992573385354e-04	5.000000e+00	4.994819e+00
2.246758198385354e-04	5.000000e+00	4.997024e+00
2.256523823385354e-04	5.000000e+00	4.998464e+00
2.266289448385354e-04	5.000000e+00	4.999374e+00
2.276055073385354e-04	5.000000e+00	4.999924e+00
2.285820698385354e-04	5.000000e+00	5.000236e+00
2.295586323385354e-04	5.000000e+00	5.000396e+00
2.302993251370220e-04	5.000000e+00	5.000450e+00
2.308043706864917e-04	5.000000e+00	5.000460e+00
2.314617512836591e-04	5.000000e+00	5.000453e+00
2.320612866925343e-04	5.000000e+00	5.000434e+00
2.330377994925990e-04	5.000000e+00	5.000389e+00
2.339729552422336e-04	5.000000e+00	5.000340e+00
2.349495177422336e-04	5.000000e+00	5.000286e+00
2.359260802422336e-04	5.000000e+00	5.000236e+00
2.388557677422336e-04	5.000000e+00	5.000120e+00
2.398323302422336e-04	5.000000e+00	5.000093e+00
2.408088927422336e-04	5.000000e+00	5.000072e+00
2.417854552422336e-04	5.000000e+00	5.000054e+00
2.427620177422336e-04	5.000000e+00	5.000041e+00
2.437385802422336e-04	5.000000e+00	5.000031e+00
2.447151427422336e-04	5.000000e+00	5.000022e+00
2.456917052422336e-04	5.000000e+00	5.000016e+00
2.466682677422336e-04	5.000000e+00	5.000012e+00
2.476448302422336e-04	5.000000e+00	5.000009e+00
2.495979552422336e-04	5.000000e+00	5.000004e+00
2.515510802422336e-04	5.000000e+00	5.000002e+00
2.532900040290816e-04	5.000000e+00	5.000001e+00
2.550289278159297e-04	5.000000e+00	5.000001e+00
2.567678516027777e-04	5.000000e+00	5.000000e+00
2.585067753896258e-04	5.000000e+00	5.000000e+00
2.602456991764738e-04	5.000000e+00	5.000000e+00
2.619846229633219e-04	5.000000e+00	5.000000e+00
2.637235467501699e-04	5.000000e+00	5.000000e+00
3.000010000000000e-04	5.000000e+00	5.000000e+00
3.000010459130602e-04	4.770435e+00	5.000000e+00
3.000010918261204e-04	4.540869e+00	5.000000e+00
3.000011377391807e-04	4.311304e+00	5.000000e+00
3.000011836522409e-04	4.081739e+00	5.000000e+00
3.000012295653011e-04	3.852173e+00	5.000000e+00
3.000012754783613e-04	3.622608e+00	5.000000e+00
3.000013213914215e-04	3.393043e+00	5.000000e+00
3.000016294124937e-04	1.852938e+00	5.000000e+00
3.000020000000000e-04	5.679901e-11	5.000000e+00
3.000453640323403e-04	1.977156e-11	4.999341e+00
3.000887280646807e-04	-7.618115e-12	4.997652e+00
3.001320920970210e-04	-2.537003e-11	4.994934e+00
3.001754561293614e-04	-3.348417e-11	4.991186e+00
3.002188201617017e-04	-3.196055e-11	4.986410e+00
3.002621841940421e-04	-2.079916e-11	4.980603e+00
3.003055482263824e-04	0.000000e+00	4.973768e+00
3.006091335115153e-04	0.000000e+00	4.904458e+00
3.012163040817813e-04	0.000000e+00	4.684416e+00
3.021768781363202e-04	0.000000e+00	4.215658e+00
3.031534406363202e-04	0.000000e+00	3.661529e+00
3.041300031363202e-04	0.000000e+00	3.089154e+00
3.051065656363202e-04	0.000000e+00	2.547741e+00
3.060831281363202e-04	0.000000e+00	2.062725e+00
3.070596906363202e-04	0.000000e+00	1.644136e+00
3.080362531363202e-04	0.000000e+00	1.292733e+00
3.090128156363202e-04	0.000000e+00	1.004069e+00
3.099893781363202e-04	0.000000e+00	7.711335e-01
3.109659406363202e-04	0.000000e+00	5.859990e-01
3.119425031363202e-04	0.000000e+00	4.408035e-01
3.129190656363202e-04	0.000000e+00	3.282911e-01
3.138956281363202e-04	0.000000e+00	2.420672e-01
3.148721906363202e-04	0.000000e+00	1.766789e-01
3.158487531363202e-04	0.000000e+00	1.275907e-01
3.168253156363202e-04	0.000000e+00	9.110462e-02
3.178018781363202e-04	0.000000e+00	6.425561e-02
3.187784406363202e-04	0.000000e+00	4.469996e-02
3.197550031363202e-04	0.000000e+00	3.060864e-02
3.207315656363202e-04	0.000000e+00	2.057073e-02
3.217081281363202e-04	0.000000e+00	1.350957e-02
3.226846906363202e-04	0.000000e+00	8.611991e-03
3.236612531363202e-04	0.000000e+00	5.269973e-03
3.246378156363202e-04	0.000000e+00	3.033377e-03
3.256143781363202e-04	0.000000e+00	1.572308e-03
3.265909406363202e-04	0.000000e+00	6.292434e-04
3.273342430870366e-04	0.000000e+00	1.674525e-04
3.280129474193424e-04	0.000000e+00	-1.022931e-04
3.286923023341207e-04	0.000000e+00	-2.735971e-04
3.294676803197071e-04	0.000000e+00	-3.873308e-04
3.302609023782411e-04	0.000000e+00	-4.456436e-04
3.308022799562950e-04	0.000000e+00	-4.583861e-04
3.313877237615143e-04	0.000000e+00	-4.532547e-04
3.319808862765769e-04	0.000000e+00	-4.357627e-04
3.329009056708727e-04	0.000000e+00	-3.951826e-04
3.338474307037410e-04	0.000000e+00	-3.459406e-04
3.348239932037410e-04	0.000000e+00	-2.928708e-04
3.358005557037410e-04	0.000000e+00	-2.422291e-04
3.367771182037410e-04	0.000000e+00	-1.965783e-04
3.387302432037410e-04	0.000000e+00	-1.236681e-04
3.397068057037410e-04	0.000000e+00	-9.620926e-05
3.406833682037410e-04	0.000000e+00	-7.400094e-05
3.416599307037410e-04	0.000000e+00	-5.631524e-05
3.426364932037410e-04	0.000000e+00	-4.242059e-05
3.436130557037410e-04	0.000000e+00	-3.163638e-05
3.445896182037410e-04	0.000000e+00	-2.335959e-05
3.455661807037410e-04	0.000000e+00	-1.707393e-05
3.465427432037410e-04	0.000000e+00	-1.234865e-05
3.475193057037410e-04	0.000000e+00	-8.831634e-06
3.494724307037410e-04	0.000000e+00	-4.349587e-06
3.514255557037410e-04	0.000000e+00	-2.011955e-06
3.543552432037410e-04	0.000000e+00	-5.230762e-07
3.578959216961141e-04	0.000000e+00	-2.765194e-07
3.614366001884873e-04	0.000000e+00	-8.721062e-08
3.649772786808605e-04	0.000000e+00	4.485029e-08
3.685179571732336e-04	0.000000e+00	1.196633e-07
3.720586356656067e-04	0.000000e+00	1.372284e-07
3.755993141579799e-04	0.000000e+00	9.754555e-08
3.791399926503530e-04	0.000000e+00	6.148285e-10
4.000000000000000e-04	0.000000e+00	-1.150257e-12
4.000000459130636e-04	2.295653e-01	-1.320348e-10
4.000000918261272e-04	4.591306e-01	3.478947e-11
4.000001377391908e-04	6.886959e-01	4.993227e-10
4.000001836522544e-04	9.182613e-01	1.261565e-09
4.000002295653180e-04	1.147827e+00	2.321516e-09
4.000002754783816e-04	1.377392e+00	3.679176e-09
4.000003213914452e-04	1.606957e+00	5.334544e-09
4.000006294125402e-04	3.147063e+00	3.170848e-08
4.000010000000000e-04	5.000000e+00	8.708463e-08
4.000226793664020e-04	5.000000e+00	1.605006e-04
4.000443587328039e-04	5.000000e+00	5.957154e-04
4.000660380992058e-04	5.000000e+00	1.305732e-03
4.000877174656077e-04	5.000000e+00	2.290549e-03
4.001093968320097e-04	5.000000e+00	3.550168e-03
4.001310761984116e-04	5.000000e+00	5.084589e-03
4.001527555648135e-04	5.000000e+00	6.893810e-03
4.003045481883730e-04	5.000000e+00	2.566165e-02
4.005669407362974e-04	5.000000e+00	7.967671e-02
4.009471839664165e-04	5.000000e+00	1.976669e-01
4.014893423403092e-04	5.000000e+00	4.264717e-01
4.022148823309469e-04	5.000000e+00	8.024098e-01
4.031914448309469e-04	5.000000e+00	1.364542e+00
4.041680073309469e-04	5.000000e+00	1.934980e+00
4.051445698309469e-04	5.000000e+00	2.473569e+00
4.061211323309469e-04	5.000000e+00	2.955476e+00
4.070976948309469e-04	5.000000e+00	3.371020e+00
4.080742573309469e-04	5.000000e+00	3.719636e+00
4.090508198309469e-04	5.000000e+00	4.005857e+00
4.100273823309469e-04	5.000000e+00	4.236717e+00
4.110039448309469e-04	5.000000e+00	4.420132e+00
4.119805073309469e-04	5.000000e+00	4.563929e+00
4.129570698309469e-04	5.000000e+00	4.675322e+00
4.139336323309469e-04	5.000000e+00	4.760663e+00
4.149101948309469e-04	5.000000e+00	4.825364e+00
4.158867573309469e-04	5.000000e+00	4.873922e+00
4.168633198309469e-04	5.000000e+00	4.910005e+00
4.178398823309469e-04	5.000000e+00	4.936549e+00
4.188164448309469e-04	5.000000e+00	4.955878e+00
4.197930073309469e-04	5.000000e+00	4.969801e+00
4.207695698309470e-04	5.000000e+00	4.979716e+00
4.217461323309470e-04	5.000000e+00	4.986688e+00
4.227226948309470e-04	5.000000e+00	4.991522e+00
4.236992573309470e-04	5.000000e+00	4.994819e+00
4.246758198309470e-04	5.000000e+00	4.997024e+00
4.256523823309470e-04	5.000000e+00	4.998464e+00
4.266289448309470e-04	5.000000e+00	4.999374e+00
4.276055073309470e-04	5.000000e+00	4.999924e+00
4.285820698309470e-04	5.000000e+00	5.000236e+00
4.295586323309470e-04	5.000000e+00	5.000396e+00
4.302993251309582e-04	5.000000e+00	5.000450e+00
4.308043706829374e-04	5.000000e+00	5.000460e+00
4.314617512823107e-04	5.000000e+00	5.000453e+00
4.320612866893609e-04	5.000000e+00	5.000434e+00
4.330377994897722e-04	5.000000e+00	5.000389e+00
4.339729552378763e-04	5.000000e+00	5.000340e+00
4.349495177378763e-04	5.000000e+00	5.000286e+00
4.359260802378763e-04	5.000000e+00	5.000236e+00
4.388557677378764e-04	5.000000e+00	5.000120e+00
4.398323302378764e-04	5.000000e+00	5.000093e+00
4.408088927378764e-04	5.000000e+00	5.000072e+00
4.417854552378764e-04	5.000000e+00	5.000054e+00
4.427620177378764e-04	5.000000e+00	5.000041e+00
4.437385802378764e-04	5.000000e+00	5.000031e+00
4.447151427378764e-04	5.000000e+00	5.000022e+00
4.456917052378764e-04	5.000000e+00	5.000016e+00
4.466682677378764e-04	5.000000e+00	5.000012e+00
4.476448302378764e-04	5.000000e+00	5.000009e+00
4.495979552378764e-04	5.000000e+00	5.000004e+00
4.515510802378764e-04	5.000000e+00	5.000002e+00
4.532900039957474e-04	5.000000e+00	5.000001e+00
4.550289277536185e-04	5.000000e+00	5.000001e+00
4.567678515114895e-04	5.000000e+00	5.000000e+00
4.585067752693606e-04	5.000000e+00	5.000000e+00
4.602456990272316e-04	5.000000e+00	5.000000e+00
4.619846227851027e-04	5.000000e+00	5.000000e+00
4.637235465429737e-04	5.000000e+00	5.000000e+00
5.000010000000000e-04	5.000000e+00	5.000000e+00
